,Adelie,Chinstrap,Gentoo,All
accuracy,1.0,1.0,0.9666666666666667,0.9878048780487805
Precision,0.9722222222222222,1.0,1.0,0.9878048780487805
Recall,1.0,1.0,0.9666666666666667,0.9878048780487805
F-scroe,0.9859154929577464,1.0,0.983050847457627,0.9878048780487805
Support,35.0,17.0,30.0,
