,Adelie,Chinstrap,Gentoo,All
accuracy,0.9787234042553191,0.9565217391304348,1.0,0.990990990990991
Precision,0.9791666666666666,1.0,1.0,0.990990990990991
Recall,1.0,0.9565217391304348,1.0,0.990990990990991
F-scroe,0.9894736842105264,0.9777777777777777,1.0,0.990990990990991
Support,47.0,23.0,41.0,
