,Adelie,Chinstrap,Gentoo,All
accuracy,1.0,1.0,0.9666666666666667,0.9878048780487805
Precision,1.0,0.9444444444444444,1.0,0.9878048780487805
Recall,1.0,1.0,0.9666666666666667,0.9878048780487805
F-scroe,1.0,0.9714285714285714,0.983050847457627,0.9878048780487805
Support,35.0,17.0,30.0,
