,Adelie,Chinstrap,Gentoo,All
accuracy,1.0,1.0,1.0,1.0
Precision,1.0,1.0,1.0,1.0
Recall,1.0,1.0,1.0,1.0
F-scroe,1.0,1.0,1.0,1.0
Support,35.0,17.0,30.0,
