,Adelie,Chinstrap,Gentoo,All
accuracy,0.9787234042553191,0.9565217391304348,1.0,0.9819819819819819
Precision,0.9787234042553191,0.9565217391304348,1.0,0.9819819819819819
Recall,0.9787234042553191,0.9565217391304348,1.0,0.9819819819819819
F-scroe,0.9787234042553191,0.9565217391304348,1.0,0.9819819819819819
Support,47.0,23.0,41.0,
